name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,time,battery
Điện thoại Nokia 105,Màu: Đen,240.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/11/0_44921374_nokia1054gdsden_1733922173406.jpg,1 tháng tại TGDĐ,Có trầy xước,"Pin,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,06/2021,1020 mAh
Điện thoại Nokia 105,Màu: Đen,240.000₫,610.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-06-17/0_44640857_nokia1054gdsden_1718604958606.jpg",1 tháng tại TGDĐ,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,06/2021,1020 mAh
Điện thoại Nokia 105,Màu: Đen,250.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/11/0_45703369_nokia1054gdsden_1733920705616.jpg,1 tháng tại TGDĐ,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,06/2021,1020 mAh
Điện thoại Nokia 105,Màu: Xanh ngọc,250.000₫,610.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-08-23/0_45121784_nokia1054gdsxanh_1724403644947.jpg",Chính hãng đến 03/08/2025,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,06/2021,1020 mAh
Điện thoại Nokia 105,Màu: Đen,260.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/02/0_45748034_nokia1054gdsden_1735793887260.jpg,Chính hãng đến 22/12/2025,Có trầy xước,"Hộp, Pin, Sách hướng dẫn, Sạc liền cáp MicroUSB, Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,06/2021,1020 mAh
Điện thoại Samsung Galaxy Z Flip5 5G 8GB/256GB,Màu: Xanh mint,8.060.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/26/0_45141519_samsunggalaxyzflip5f731b8g256gbxanh_1737898234477.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C - Type C",Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,07/2023,3700 mAh
Điện thoại Samsung Galaxy Z Flip5 5G 8GB/256GB,Màu: Xanh mint,8.060.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/18/0_46092755_samsunggalaxyzflip5f731b8g256gbxanh_1742269900289.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,07/2023,3700 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/04/27/0_45607572_mobellf209den_1745766947545.jpg,Chính hãng đến 14/09/2025,Có trầy xước,"Hộp, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,12/2022,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/02/0_45513804_mobellf209den_1730540610910.jpg,Chính hãng đến 09/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,12/2022,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/28/0_41694066_mobellf209den_1743148099519.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Hộp",Unisoc T107,48 MB,128 MB,12/2022,1500 mAh
