iter	R2	RMSE
0	0.2035064069	6110.530989
1	0.3649505461	5456.216329
2	0.4913077304	4883.322162
3	0.5948157933	4358.2693
4	0.672627405	3917.499665
5	0.7337537106	3532.885721
6	0.7854392271	3171.487252
7	0.8252602393	2862.092567
8	0.8582114665	2578.151077
9	0.8843022216	2328.897193
10	0.9047697363	2112.882281
11	0.9213607405	1920.027793
12	0.934167153	1756.746617
13	0.9441220603	1618.482469
14	0.9526436814	1489.967428
15	0.9594311622	1379.06295
16	0.9651687213	1277.828343
17	0.969778534	1190.27023
18	0.9731508803	1121.896603
19	0.9760940511	1058.621722
20	0.9788023688	996.8538099
21	0.9808373366	947.7979009
22	0.9824865158	906.0957315
23	0.9837687668	872.2953692
24	0.9850562803	836.9840161
25	0.9862029708	804.2306097
26	0.9871015153	777.601616
27	0.9877322717	758.3503323
28	0.9885227434	733.5113766
29	0.9891082099	714.5579235
30	0.989604092	698.1022234
31	0.9900028788	684.5817002
32	0.9903359827	673.0799564
33	0.9907339989	659.073701
34	0.9910558703	647.5254654
35	0.9912607748	640.0652858
36	0.9915017545	631.1788598
37	0.9917809121	620.7255476
38	0.9919598826	613.9302056
39	0.9922163951	604.0573871
40	0.992367411	598.1687834
41	0.9925379391	591.448864
42	0.9927086332	584.6450551
43	0.9928729663	578.0191327
44	0.9929767567	573.7948738
45	0.9930611917	570.3352984
46	0.993133912	567.3388041
47	0.9932106245	564.1605621
48	0.993274275	561.5098262
49	0.9933967427	556.3741158
50	0.9935588676	549.5015469
51	0.9936246402	546.6887739
52	0.9936781043	544.3916678
53	0.9937394127	541.7455406
54	0.9938496769	536.9536162
55	0.9939333766	533.2874045
56	0.9940117913	529.8296643
57	0.9940763621	526.9653478
58	0.9941254646	524.7767313
59	0.9942040468	521.2550115
60	0.9942792866	517.8606373
61	0.9943593974	514.2218871
62	0.9944315266	510.9235056
63	0.9944835352	508.5319354
64	0.9945208582	506.8087171
65	0.9945803627	504.0491896
66	0.9946353357	501.486311
67	0.9947091996	498.0219655
68	0.9947630442	495.4812917
69	0.9947923927	494.0909732
70	0.9948368102	491.9793265
71	0.9948599395	490.8761379
72	0.9948987816	489.0179118
73	0.9949336623	487.3431585
74	0.994976159	485.2949248
75	0.9950063187	483.8360444
76	0.9950405981	482.172525
77	0.9950841158	480.0523828
78	0.9951044669	479.0576742
79	0.9951492192	476.8630072
80	0.9951823052	475.2339421
81	0.9952102941	473.851467
82	0.9952371365	472.5218266
83	0.9952546258	471.6534781
84	0.9952772552	470.5275374
85	0.9953017956	469.3034663
86	0.9953343637	467.6740238
87	0.9953578057	466.4976536
88	0.995388084	464.9738203
89	0.9954182942	463.44842
90	0.9954413501	462.2808771
91	0.995466749	460.9912571
92	0.9954911142	459.7507299
93	0.9955078413	458.8971419
94	0.9955463717	456.9248642
95	0.9955743059	455.489639
96	0.9956131761	453.4849832
97	0.9956348858	452.3614756
98	0.9956492238	451.6179349
99	0.9956678789	450.6486792
100	0.995681298	449.9501777
101	0.9956962818	449.1689464
102	0.9957107294	448.4143768
103	0.9957337308	447.2104408
104	0.9957526039	446.2201642
105	0.9957707405	445.2664509
106	0.9957887841	444.3155983
107	0.99580252	443.590388
108	0.9958194849	442.69305
109	0.9958297968	442.1467307
110	0.995854166	440.8529629
111	0.9958606999	440.5054292
112	0.995874028	439.7956687
113	0.995898365	438.4966855
114	0.9959138903	437.6660108
115	0.9959383647	436.3533037
116	0.995956914	435.355765
117	0.9959810509	434.0542961
118	0.9959995646	433.0533846
119	0.9960059969	432.7050925
120	0.996020651	431.9105597
121	0.9960388429	430.9221711
122	0.9960499551	430.3173186
123	0.9960611762	429.7056693
124	0.9960730345	429.0583447
125	0.9960845714	428.4276217
126	0.9961001625	427.5737783
127	0.9961106848	426.996563
128	0.9961165854	426.6725365
129	0.9961280276	426.0434883
130	0.9961369893	425.5501639
131	0.9961440328	425.1620328
132	0.9961592577	424.3218479
133	0.9961648316	424.0138362
134	0.9961754163	423.4283121
135	0.9961846745	422.9155029
136	0.9961972529	422.2177925
137	0.996205369	421.7669878
138	0.9962094076	421.5424836
139	0.9962113812	421.4327316
140	0.9962208602	420.905194
141	0.9962257952	420.6302858
142	0.9962340756	420.1686123
143	0.9962374192	419.9820484
144	0.99624257	419.6944822
145	0.9962479796	419.392251
146	0.996254439	419.0310886
147	0.9962618442	418.6166602
148	0.9962701712	418.1501483
149	0.9962758681	417.8306894
150	0.9962832678	417.4153755
151	0.9962878331	417.1589395
152	0.9962955122	416.7272425
153	0.9963023507	416.3424222
154	0.9963103736	415.8905035
155	0.9963134291	415.71826
156	0.9963159212	415.5777251
157	0.9963207149	415.3072672
158	0.9963275244	414.9227692
159	0.9963314127	414.7030543
160	0.9963354112	414.4769945
161	0.9963403212	414.1992365
162	0.9963434528	414.0219821
163	0.9963505602	413.6194065
164	0.9963572763	413.2386408
165	0.9963589882	413.1415252
166	0.9963622636	412.9556566
167	0.9963661513	412.7349315
168	0.9963700753	412.5120274
169	0.9963738196	412.2992198
170	0.9963773695	412.0973566
171	0.9963820011	411.8338323
172	0.9963878377	411.5015131
173	0.9963938274	411.1601916
174	0.9963964965	411.0080067
175	0.9963981478	410.9138249
176	0.9964053655	410.5019042
177	0.996411175	410.1700549
178	0.9964153986	409.9286195
179	0.9964199752	409.6668512
180	0.9964229899	409.4943299
181	0.9964283873	409.1852642
182	0.9964325861	408.9446733
183	0.9964342929	408.8468329
184	0.9964346242	408.8278422
185	0.9964391411	408.5687934
186	0.9964413364	408.4428285
187	0.9964439537	408.2925996
188	0.9964472918	408.1009229
189	0.996449834	407.9548843
190	0.9964523496	407.810322
191	0.9964553991	407.6350118
192	0.9964618178	407.2657661
193	0.9964656358	407.0459705
194	0.9964677806	406.9224403
195	0.9964722568	406.6645237
196	0.9964771492	406.3824412
197	0.9964817455	406.1172481
198	0.996484074	405.9828355
199	0.9964857561	405.8857043
200	0.9964878867	405.7626484
201	0.9964897367	405.6557646
202	0.9964920703	405.5209044
203	0.9964949238	405.3559358
204	0.9964989117	405.1252738
205	0.9965022914	404.9296914
206	0.996504466	404.8037905
207	0.9965075793	404.6234816
208	0.9965091205	404.5341938
209	0.9965118857	404.3739429
210	0.9965135846	404.275451
211	0.9965143184	404.2329072
212	0.9965155232	404.1630379
213	0.9965174135	404.0533978
214	0.9965192329	403.9478425
215	0.9965194292	403.9364519
216	0.9965219403	403.7907111
217	0.9965235396	403.6978643
218	0.9965260784	403.5504323
219	0.9965295393	403.349358
220	0.9965313103	403.2464327
221	0.996533984	403.0909908
222	0.9965351766	403.0216345
223	0.9965377222	402.8735582
224	0.9965402463	402.7266776
225	0.9965420249	402.6231487
226	0.996543829	402.5181042
227	0.9965466854	402.3517342
228	0.9965481898	402.2640883
229	0.9965507853	402.1128219
230	0.9965548848	401.8737867
