iter	Passed	Remaining
0	134	111516
1	135	56229
2	136	37665
3	137	28387
4	138	22813
5	139	19129
6	140	16485
7	141	14491
8	141	12936
9	142	11698
10	143	10687
11	144	9835
12	145	9127
13	146	8511
14	146	7976
15	147	7515
16	149	7118
17	150	6761
18	151	6440
19	151	6146
20	152	5880
21	153	5638
22	154	5416
23	155	5214
24	156	5023
25	156	4848
26	157	4690
27	158	4543
28	159	4412
29	161	4298
30	162	4173
31	162	4057
32	163	3946
33	164	3842
34	165	3744
35	165	3652
36	166	3565
37	167	3481
38	167	3402
39	168	3326
40	169	3255
41	170	3186
42	170	3121
43	171	3058
44	172	2998
45	172	2942
46	173	2888
47	174	2835
48	175	2787
49	175	2739
50	176	2695
51	177	2650
52	178	2607
53	178	2565
54	179	2524
55	180	2485
56	180	2448
57	181	2412
58	182	2377
59	182	2344
60	183	2311
61	184	2280
62	185	2250
63	185	2222
64	186	2193
65	187	2165
66	187	2138
67	188	2111
68	189	2085
69	190	2061
70	191	2041
71	192	2018
72	193	1999
73	193	1977
74	194	1956
75	195	1935
76	196	1915
77	196	1894
78	197	1874
79	198	1855
80	198	1836
81	199	1818
82	200	1800
83	201	1783
84	201	1765
85	202	1749
86	203	1732
87	203	1715
88	204	1701
89	205	1687
90	206	1672
91	206	1656
92	207	1641
93	208	1627
94	208	1613
95	209	1599
96	210	1585
97	210	1572
98	211	1561
99	212	1549
100	213	1537
101	214	1525
102	214	1513
103	215	1501
104	215	1489
105	216	1477
106	217	1466
107	217	1455
108	218	1444
109	219	1434
110	220	1424
111	221	1415
112	221	1406
113	222	1396
114	223	1387
115	224	1378
116	224	1368
117	225	1359
118	226	1350
119	227	1341
120	227	1332
121	228	1323
122	229	1315
123	229	1306
124	230	1298
125	231	1290
126	232	1282
127	232	1275
128	233	1267
129	234	1260
130	235	1253
131	236	1247
132	236	1240
133	237	1232
134	238	1225
135	239	1218
136	240	1212
137	240	1206
138	241	1199
139	242	1192
140	243	1186
141	243	1180
142	244	1173
143	245	1166
144	246	1160
145	246	1154
146	247	1148
147	248	1142
148	248	1136
149	249	1130
150	250	1124
151	251	1118
152	251	1112
153	252	1106
154	253	1100
155	253	1095
156	254	1089
157	255	1084
158	256	1079
159	256	1074
160	257	1069
161	258	1063
162	259	1058
163	259	1053
164	260	1048
165	261	1043
166	261	1038
167	262	1033
168	263	1029
169	264	1024
170	264	1019
171	265	1015
172	266	1011
173	267	1007
174	268	1003
175	269	998
176	269	993
177	270	989
178	271	984
179	271	980
180	272	976
181	273	971
182	273	967
183	274	962
184	275	958
185	276	954
186	277	951
187	277	947
188	278	943
189	279	939
190	280	935
191	280	931
192	281	928
193	282	924
194	283	921
195	284	917
196	284	913
197	285	910
198	286	906
199	286	902
200	287	898
201	288	895
202	289	891
203	289	887
204	290	884
205	291	880
206	291	877
207	292	873
208	293	870
209	294	867
210	295	865
211	296	862
212	297	859
213	297	855
214	298	852
215	299	849
216	300	846
217	300	842
218	301	839
219	302	836
220	302	833
221	303	830
222	304	826
223	304	823
224	305	820
225	306	817
226	307	814
227	307	811
228	308	808
229	309	805
230	310	803
231	311	800
232	311	797
233	312	794
234	313	792
235	314	789
236	314	786
237	315	783
238	316	780
239	317	778
240	317	775
241	318	772
242	319	770
243	320	767
244	320	764
245	322	764
246	323	762
247	324	759
248	325	757
249	326	755
250	327	753
251	327	750
252	328	748
253	329	745
254	330	743
255	331	741
256	332	739
257	332	736
258	333	734
259	334	731
260	335	729
261	335	726
262	336	724
263	337	722
264	338	719
265	339	717
266	340	716
267	341	714
268	342	712
269	343	710
270	344	708
271	345	706
272	345	704
273	346	702
274	347	700
275	348	698
276	349	696
277	350	693
278	350	691
279	351	689
280	352	687
281	353	685
282	354	683
283	355	681
284	355	679
285	356	677
286	357	675
287	358	673
288	359	671
289	360	669
290	361	667
291	361	665
292	362	663
293	363	662
294	364	660
295	365	658
296	366	656
297	367	654
298	368	653
299	369	651
300	370	649
301	371	648
302	372	646
303	373	645
304	374	643
305	375	641
306	376	639
307	377	637
308	377	635
309	378	633
310	379	632
311	380	629
312	380	627
313	381	626
314	382	624
315	383	622
316	384	620
317	384	618
318	385	617
319	386	615
320	387	613
321	388	611
322	389	609
323	390	607
324	390	606
325	391	604
326	392	602
327	393	600
328	394	598
329	394	597
330	395	595
331	396	593
332	397	591
333	398	589
334	398	588
335	399	586
336	400	585
337	401	583
338	402	582
339	403	580
340	404	578
341	405	576
342	405	574
343	406	573
344	407	571
345	408	569
346	408	567
347	409	566
348	410	564
349	411	562
350	412	561
351	412	559
352	413	557
353	414	556
354	415	555
355	416	553
356	417	551
357	418	550
358	419	549
359	420	547
360	421	545
361	421	544
362	422	542
363	423	541
364	424	539
365	425	537
366	425	536
367	426	534
368	427	532
369	428	531
370	429	529
371	430	528
372	431	526
373	431	525
374	432	523
375	433	522
376	434	520
377	434	518
378	435	517
379	436	516
380	437	514
381	438	512
382	439	511
383	440	509
384	440	508
385	441	506
386	442	505
387	443	503
388	444	502
389	445	501
390	446	499
391	446	498
392	447	496
393	448	495
394	449	493
395	449	491
396	450	490
397	451	488
398	452	487
399	453	485
400	453	484
401	454	483
402	455	481
403	456	480
404	457	478
405	458	477
406	459	475
407	459	474
408	460	473
409	461	471
410	462	470
411	463	468
412	463	467
413	464	465
414	465	464
415	466	462
416	467	461
417	467	459
418	468	458
419	469	456
420	470	455
421	470	454
422	471	452
423	472	451
424	473	449
425	475	449
426	476	448
427	476	446
428	477	445
429	478	444
430	479	442
431	480	441
432	480	439
433	481	438
434	482	437
435	483	435
436	483	434
437	484	432
438	485	431
439	486	429
440	487	428
441	487	427
442	488	425
443	489	424
444	490	422
445	491	421
446	492	420
447	493	419
448	494	418
449	494	416
450	495	415
451	496	414
452	497	412
453	498	411
454	499	410
455	500	409
456	500	407
457	501	406
458	502	405
459	503	403
460	504	402
461	504	401
462	505	399
463	506	398
464	507	397
465	508	395
466	509	394
467	510	393
468	510	392
469	511	390
470	512	389
471	513	388
472	513	386
473	514	385
474	515	384
475	515	382
476	516	381
477	517	380
478	518	378
479	519	377
480	520	376
481	521	375
482	522	374
483	523	372
484	524	371
485	524	370
486	525	369
487	526	367
488	527	366
489	528	365
490	528	364
491	529	362
492	530	361
493	531	360
494	532	359
495	532	357
496	533	356
497	534	355
498	535	353
499	536	352
500	537	351
501	538	350
502	538	349
503	539	348
504	540	346
505	541	345
506	542	344
507	542	343
508	543	341
509	544	340
510	545	339
511	546	338
