,name,brand,condition,price_new,CPU,RAM,capacity,operating_system,display_technology,screen_resolution,weight,bluetooth,refresh_rate,GPU,has_esim,height,width,depth,time_difference,Cluster,price_old
8062,68,3,2,11990.0,2,12.0,512.0,1.0,3,2.592,192.0,3.2,120.0,3,0.0,162.2,75.05,7.76,170,1,8320.0
7251,63,3,2,8490.0,1,8.0,256.0,0.9333333333333333,3,2.592,187.0,3.6,120.0,2,0.0,163.1,75.8,7.69,323,0,6330.0
10048,82,2,2,7490.0,1,8.0,512.0,0.9333333333333333,2,2.592,196.0,3.0,90.0,2,0.0,165.69,76.22,7.99,231,0,5180.0
7581,20,4,2,40990.0,3,8.0,512.0,1.0,3,3.78576,227.0,3.6,120.0,3,1.0,163.0,77.6,8.25,292,2,31840.0
6313,141,3,2,5790.0,1,8.0,128.0,0.9333333333333333,2,1.15776,199.0,3.0,90.0,2,0.0,165.7,76.0,7.99,384,0,3340.0
5446,138,3,2,3990.0,1,6.0,128.0,0.8666666666666667,2,1.16064,186.0,3.0,90.0,2,0.0,163.74,75.43,8.09,658,0,2330.0
7538,51,3,2,5490.0,1,8.0,128.0,0.8666666666666667,2,2.60496,192.0,3.6,60.0,2,0.0,165.65,75.98,7.99,689,0,3630.0
10288,147,3,2,16990.0,3,12.0,256.0,0.9333333333333333,3,3.30864,209.0,3.8,144.0,3,1.0,160.4,75.1,8.39,292,1,11230.0
11079,100,4,2,10290.0,2,12.0,256.0,1.0,3,2.5272,195.0,3.8,120.0,3,1.0,162.9,78.2,7.4,111,0,7340.0
46,14,4,2,25990.0,3,6.0,128.0,0.9444444444444444,3,3.60684,201.0,3.6,60.0,3,1.0,160.0,77.0,9.0,658,2,16640.0
10548,151,3,2,4690.0,1,8.0,128.0,0.9333333333333333,2,2.6568,198.0,3.8,90.0,2,0.0,168.6,76.28,8.3,111,0,3350.0
10934,24,3,2,2990.0,1,4.0,128.0,0.9333333333333333,2,1.16064,194.0,3.2,90.0,1,0.0,163.85,75.75,8.7,170,0,2420.0
1083,79,2,4,3590.0,1,6.0,128.0,0.9333333333333333,2,1.15488,185.0,3.0,90.0,2,0.0,165.66,76.1,7.64,445,0,2990.0
6885,19,4,2,28990.0,3,8.0,128.0,1.0,3,3.162132,199.0,3.6,120.0,3,1.0,149.6,71.5,8.25,292,2,23700.0
1107,15,4,2,43990.0,3,8.0,1024.0,0.9444444444444444,3,3.013524,187.0,3.6,120.0,3,1.0,146.0,70.0,6.0,658,2,30390.0
5829,84,2,2,2490.0,1,3.0,64.0,0.9333333333333333,2,1.152,186.0,3.0,90.0,2,0.0,167.2,76.7,7.99,536,0,1560.0
3698,16,4,2,30990.0,3,8.0,256.0,0.9444444444444444,3,3.60684,221.0,3.6,120.0,3,1.0,159.9,76.7,8.25,658,2,23700.0
8913,163,3,2,9490.0,2,8.0,256.0,0.9333333333333333,3,3.30864,190.0,3.8,120.0,2,0.0,162.33,74.42,8.4,170,0,6400.0
6185,65,3,2,18990.0,2,12.0,512.0,0.9333333333333333,3,2.60496,180.0,3.8,120.0,2,0.0,161.5,74.8,7.4,354,1,9900.0
578,7,4,1,23990.0,3,6.0,128.0,0.8333333333333334,3,2.96244,204.0,3.0,120.0,3,1.0,71.5,7.0,7.0,1388,2,12190.0
7228,17,4,2,22990.0,3,8.0,128.0,1.0,3,3.013524,170.0,3.6,60.0,3,1.0,147.6,71.6,7.8,292,1,18790.0
1173,22,3,2,2490.0,1,4.0,64.0,0.9333333333333333,2,1.16064,188.0,3.2,90.0,1,0.0,163.32,75.07,8.35,476,0,1740.0
9411,66,3,2,16990.0,2,12.0,512.0,1.0,3,3.46656,181.0,3.8,120.0,2,0.0,157.9,74.73,7.24,170,1,11660.0
6477,64,3,2,9990.0,2,12.0,256.0,0.9333333333333333,3,2.592,187.0,3.6,120.0,2,0.0,163.1,75.8,7.76,354,0,6170.0
6499,80,2,2,5290.0,1,8.0,256.0,0.9333333333333333,2,1.152,191.0,3.0,90.0,2,0.0,167.26,76.67,7.74,323,0,3030.0
11161,21,4,2,16990.0,3,8.0,128.0,1.0,3,2.96244,167.0,3.6,60.0,2,1.0,146.7,71.5,7.8,139,1,14030.0
6214,65,3,2,18990.0,2,12.0,512.0,0.9333333333333333,3,2.60496,180.0,3.8,120.0,2,0.0,161.5,74.8,7.4,354,1,10850.0
6232,65,3,2,18990.0,2,12.0,512.0,0.9333333333333333,3,2.60496,180.0,3.8,120.0,2,0.0,161.5,74.8,7.4,354,1,13100.0
4553,17,4,2,25990.0,3,8.0,256.0,1.0,3,3.013524,170.0,3.6,60.0,3,1.0,147.6,71.6,7.8,292,2,20820.0
883,117,4,1,37490.0,3,12.0,512.0,0.9333333333333333,3,4.4928,232.0,3.6,120.0,3,1.0,162.3,79.0,8.6,536,2,18490.0
