name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại iPhone 15 Pro 128GB,Màu: Titan đen,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/18/0_46092976_dienthoaiiphone15pro128gbblacktitanium_1742309388065.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
,,,,,,,,,,,
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/27/2_46277392_dienthoaiiphone15pro128gbbluetitanium_1745726292371.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/20/0_45604835_dienthoaiiphone15pro128gbbluetitanium_1732074524755.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/14/0_45653153_dienthoaiiphone15pro128gbbluetitanium_1734178989556.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
,,,,,,,,,,,
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/11/0_45883367_dienthoaiiphone15pro128gbbluetitanium_1741672785588.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/24/0_45603852_dienthoaiiphone15pro128gbbluetitanium_1732444049708.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/22/0_45618011_dienthoaiiphone15pro128gbbluetitanium_1732251877853.jpg,1 tháng tại TGDĐ,Có trầy xước,Hộp,Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/23/0_45644129_dienthoaiiphone15pro128gbbluetitanium_1745387271014.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/04/04/0_46166393_dienthoaiiphone15pro128gbbluetitanium_1743776866720.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan đen,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/23/0_45606491_dienthoaiiphone15pro128gbblacktitanium_1732344664217.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/05/0_45700859_dienthoaiiphone15pro128gbbluetitanium_1743858315097.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/15/0_45643901_dienthoaiiphone15pro128gbbluetitanium_1734237240262.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/27/0_45883697_dienthoaiiphone15pro128gbbluetitanium_1743056609727.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/29/0_45605795_dienthoaiiphone15pro128gbbluetitanium_1732880766596.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/28/0_46127069_dienthoaiiphone15pro128gbbluetitanium_1743148142022.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/21/0_45616337_dienthoaiiphone15pro128gbbluetitanium_1732169801880.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/29/0_45646811_dienthoaiiphone15pro128gbbluetitanium_1732862191869.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/22/0_45617987_dienthoaiiphone15pro128gbbluetitanium_1732286875992.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
Điện thoại iPhone 15 Pro 128GB,Màu: Titan xanh,17.850.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/21/0_45603991_dienthoaiiphone15pro128gbbluetitanium_1732151089537.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Apple A17 Pro 6 nhân,8 GB,128 GB,3274 mAh
